sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,34,33,0,92.78097500000007,12.472918209000056,2020-06-11
2,Andhra Pradesh,5269,2899,78,79.95790576800005,15.754585607000024,2020-06-11
3,Arunachal Pradesh,57,2,0,94.66035909400006,28.033781652000073,2020-06-11
4,Assam,3092,1249,4,92.83015209500007,26.326143585000068,2020-06-11
5,Bihar,5710,3071,33,85.48728000000006,25.151460000000043,2020-06-11
6,Chandigarh,327,286,5,76.78943000000004,30.703410000000076,2020-06-11
7,Chhattisgarh,1262,402,6,82.04162083700004,21.265149260000044,2020-06-11
8,Dadar Nagar Haveli,26,2,0,73.04955000000007,20.280950000000075,2020-06-11
9,Daman & Diu,2,0,0,72.86152389700004,20.407706509000036,2020-06-11
10,Delhi,32810,12245,984,77.21689000000003,28.634100000000046,2020-06-11
11,Goa,387,67,0,74.05421646500008,15.362577927000075,2020-06-11
12,Gujarat,21521,14735,1347,71.57702777600008,22.695412103000024,2020-06-11
13,Haryana,5579,2188,52,76.34013631800008,29.196461959000032,2020-06-11
14,Himachal Pradesh,451,254,6,77.25004871100003,31.92365680000006,2020-06-11
15,Jammu and Kashmir,4507,1671,51,76.31064825900006,34.64385349200006,2020-06-11
16,Jharkhand,1489,592,8,85.55996217400008,23.653965903000028,2020-06-11
17,Karnataka,6041,2862,69,76.17046946700003,14.705918599000029,2020-06-11
18,Kerala,2161,905,18,76.40890634100003,10.447255617000053,2020-06-11
19,Ladakh,115,52,1,77.50000000000006,34.50000000000006,2020-06-11
20,Madhya Pradesh,10049,6892,427,78.29754465700006,23.54300214400007,2020-06-11
21,Maharashtra,94041,44517,3438,73.01582000000008,19.03681000000006,2020-06-11
22,Manipur,311,63,0,93.88394228400006,24.731636637000065,2020-06-11
23,Meghalaya,44,13,1,91.27961259500006,25.536524185000076,2020-06-11
24,Mizoram,93,1,0,92.82891654100007,23.307804220000037,2020-06-11
25,Nagaland,128,22,0,94.47204729200007,26.059338800000035,2020-06-11
26,Odisha,3250,2282,9,85.00127000000003,20.926660000000027,2020-06-11
27,Puducherry,127,53,0,79.82470000000006,11.92993000000007,2020-06-11
28,Punjab,2805,2232,55,75.41747895900005,30.843241601000045,2020-06-11
29,Rajasthan,11600,8569,259,73.84574451200007,26.586502090000067,2020-06-11
30,Sikkim,13,0,0,88.47595861700006,27.57122643500003,2020-06-11
31,Tamil Nadu,36841,19333,326,78.40968946000004,11.013249830000063,2020-06-11
32,Telengana,4111,1817,156,79.50000000000006,18.000000000000057,2020-06-11
33,Tripura,895,239,1,91.74011046400005,23.746521947000076,2020-06-11
35,Uttar Pradesh,11610,6871,321,80.56369184900007,26.928766474000042,2020-06-11
34,Uttarakhand,1562,831,15,79.20756428100003,30.15483757800007,2020-06-11
36,West Bengal,9328,3779,432,87.98640557800007,23.797759531000054,2020-06-11
