sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,27,11,0,92.78097500000008,12.472918209000056,2020-04-25
2,Andhra Pradesh,1061,171,31,79.95790576800005,15.754585607000024,2020-04-25
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-04-25
4,Assam,36,19,1,92.83015209500007,26.32614358500007,2020-04-25
5,Bihar,228,46,2,85.48728000000007,25.151460000000046,2020-04-25
6,Chandigarh,28,15,0,76.78943000000005,30.703410000000076,2020-04-25
7,Chhattisgarh,36,30,0,82.04162083700004,21.265149260000047,2020-04-25
8,Delhi,2514,857,53,77.21689000000003,28.634100000000053,2020-04-25
9,Goa,7,7,0,74.05421646500008,15.362577927000075,2020-04-25
10,Gujarat,2815,265,127,71.57702777600008,22.695412103000027,2020-04-25
11,Haryana,272,156,3,76.34013631800008,29.19646195900003,2020-04-25
12,Himachal Pradesh,40,18,1,77.25004871100003,31.923656800000057,2020-04-25
13,Jammu and Kashmir,454,109,5,76.31064825900006,34.64385349200006,2020-04-25
14,Jharkhand,59,9,3,85.55996217400008,23.65396590300003,2020-04-25
15,Karnataka,489,153,18,76.17046946700003,14.705918599000027,2020-04-25
16,Kerala,451,331,4,76.40890634100003,10.447255617000053,2020-04-25
17,Ladakh,20,14,0,77.50000000000007,34.50000000000006,2020-04-25
18,Madhya Pradesh,1952,210,92,78.29754465700006,23.543002144000074,2020-04-25
19,Maharashtra,6817,957,301,73.01582000000008,19.03681000000006,2020-04-25
20,Manipur,2,2,0,93.88394228400006,24.731636637000065,2020-04-25
21,Meghalaya,12,0,1,91.27961259500006,25.536524185000076,2020-04-25
22,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-04-25
23,Odisha,94,33,1,85.00127000000003,20.926660000000027,2020-04-25
24,Puducherry,7,3,0,79.82470000000006,11.92993000000007,2020-04-25
25,Punjab,298,67,17,75.41747895900005,30.843241601000045,2020-04-25
26,Rajasthan,2034,230,27,73.84574451200007,26.58650209000007,2020-04-25
27,Tamil Nadu,1755,866,22,78.40968946000005,11.013249830000065,2020-04-25
28,Telengana,984,253,26,79.50000000000007,18.000000000000053,2020-04-25
29,Tripura,2,1,0,91.74011046400005,23.74652194700008,2020-04-25
31,Uttar Pradesh,1778,248,26,80.56369184900007,26.92876647400004,2020-04-25
30,Uttarakhand,48,25,0,79.20756428100003,30.15483757800007,2020-04-25
32,West Bengal,571,103,18,87.98640557800007,23.79775953100005,2020-04-25
