sno.,place,case,recovery,death,lon,lat,day
2,Andaman and Nicobar Islands,11,10,0,92.78097500000008,12.472918209000056,2020-04-13
1,Andhra Pradesh,432,11,7,79.95790576800005,15.754585607000024,2020-04-13
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073,2020-04-13
4,Assam,31,0,1,92.83015209500007,26.32614358500007,2020-04-13
5,Bihar,64,26,1,85.48728000000007,25.151460000000046,2020-04-13
6,Chandigarh,21,7,0,76.78943000000005,30.703410000000076,2020-04-13
7,Chhattisgarh,31,10,0,82.04162083700004,21.265149260000047,2020-04-13
8,Delhi,1154,27,24,77.21689000000003,28.634100000000053,2020-04-13
9,Goa,7,5,0,74.05421646500008,15.362577927000075,2020-04-13
10,Gujarat,539,47,26,71.57702777600008,22.695412103000027,2020-04-13
11,Haryana,185,29,3,76.34013631800008,29.19646195900003,2020-04-13
12,Himachal Pradesh,32,13,1,77.25004871100003,31.923656800000057,2020-04-13
13,Jammu and Kashmir,245,6,4,76.31064825900006,34.64385349200006,2020-04-13
14,Jharkhand,19,0,2,85.55996217400008,23.65396590300003,2020-04-13
15,Karnataka,247,59,6,76.17046946700003,14.705918599000027,2020-04-13
16,Kerala,376,179,3,76.40890634100003,10.447255617000053,2020-04-13
17,Ladakh,15,10,0,77.50000000000007,34.50000000000006,2020-04-13
18,Madhya Pradesh,604,44,43,78.29754465700006,23.543002144000074,2020-04-13
19,Maharashtra,1985,217,149,73.01582000000008,19.03681000000006,2020-04-13
20,Manipur,2,1,0,93.88394228400006,24.731636637000065,2020-04-13
21,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-04-13
22,Nagaland,1,0,0,94.47204729200008,26.059338800000035,2020-04-13
23,Odisha,54,12,1,85.00127000000003,20.926660000000027,2020-04-13
24,Puducherry,7,1,0,79.82470000000006,11.92993000000007,2020-04-13
25,Punjab,167,14,11,75.41747895900005,30.843241601000045,2020-04-13
26,Rajasthan,812,21,3,73.84574451200007,26.58650209000007,2020-04-13
27,Tamil Nadu,1075,50,11,78.40968946000005,11.013249830000065,2020-04-13
28,Telengana,562,100,16,79.50000000000007,18.000000000000053,2020-04-13
29,Tripura,2,0,0,91.74011046400005,23.74652194700008,2020-04-13
31,Uttar Pradesh,483,47,5,80.56369184900007,26.92876647400004,2020-04-13
30,Uttarakhand,35,5,0,79.20756428100003,30.15483757800007,2020-04-13
32,West Bengal,152,29,7,87.98640557800007,23.79775953100005,2020-04-13
