sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,17,0,92.78097500000008,12.472918209000056,2020-05-03
2,Andhra Pradesh,1583,488,33,79.95790576800005,15.754585607000024,2020-05-03
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-03
4,Assam,43,32,1,92.83015209500007,26.32614358500007,2020-05-03
5,Bihar,482,117,4,85.48728000000007,25.151460000000046,2020-05-03
6,Chandigarh,94,19,0,76.78943000000005,30.703410000000076,2020-05-03
7,Chhattisgarh,43,36,0,82.04162083700004,21.265149260000047,2020-05-03
8,Delhi,4122,1256,64,77.21689000000003,28.634100000000053,2020-05-03
9,Goa,7,7,0,74.05421646500008,15.362577927000075,2020-05-03
10,Gujarat,5055,896,262,71.57702777600008,22.695412103000027,2020-05-03
11,Haryana,394,227,4,76.34013631800008,29.19646195900003,2020-05-03
12,Himachal Pradesh,40,33,1,77.25004871100003,31.923656800000057,2020-05-03
13,Jammu and Kashmir,666,254,8,76.31064825900006,34.64385349200006,2020-05-03
14,Jharkhand,115,22,3,85.55996217400008,23.65396590300003,2020-05-03
15,Karnataka,606,282,25,76.17046946700003,14.705918599000027,2020-05-03
16,Kerala,500,400,4,76.40890634100003,10.447255617000053,2020-05-03
17,Ladakh,40,17,0,77.50000000000007,34.50000000000006,2020-05-03
18,Madhya Pradesh,2846,798,156,78.29754465700006,23.543002144000074,2020-05-03
19,Maharashtra,12296,2000,521,73.01582000000008,19.03681000000006,2020-05-03
20,Manipur,2,2,0,93.88394228400006,24.731636637000065,2020-05-03
21,Meghalaya,12,0,1,91.27961259500006,25.536524185000076,2020-05-03
22,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-05-03
23,Odisha,160,56,1,85.00127000000003,20.926660000000027,2020-05-03
24,Puducherry,8,5,0,79.82470000000006,11.92993000000007,2020-05-03
25,Punjab,772,112,20,75.41747895900005,30.843241601000045,2020-05-03
26,Rajasthan,2772,1121,65,73.84574451200007,26.58650209000007,2020-05-03
27,Tamil Nadu,2757,1341,29,78.40968946000005,11.013249830000065,2020-05-03
28,Telengana,1063,458,28,79.50000000000007,18.000000000000053,2020-05-03
29,Tripura,4,2,0,91.74011046400005,23.74652194700008,2020-05-03
31,Uttar Pradesh,2626,698,43,80.56369184900007,26.92876647400004,2020-05-03
30,Uttarakhand,59,39,0,79.20756428100003,30.15483757800007,2020-05-03
32,West Bengal,922,151,33,87.98640557800007,23.79775953100005,2020-05-03
