sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,14,11,0,92.78097500000008,12.472918209000056,2020-04-19
2,Andhra Pradesh,603,42,15,79.95790576800005,15.754585607000024,2020-04-19
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073,2020-04-19
4,Assam,35,12,1,92.83015209500007,26.32614358500007,2020-04-19
5,Bihar,86,37,2,85.48728000000007,25.151460000000046,2020-04-19
6,Chandigarh,23,10,0,76.78943000000005,30.703410000000076,2020-04-19
7,Chhattisgarh,36,24,0,82.04162083700004,21.265149260000047,2020-04-19
8,Delhi,1893,72,43,77.21689000000003,28.634100000000053,2020-04-19
9,Goa,7,6,0,74.05421646500008,15.362577927000075,2020-04-19
10,Gujarat,1604,94,58,71.57702777600008,22.695412103000027,2020-04-19
11,Haryana,233,87,3,76.34013631800008,29.19646195900003,2020-04-19
12,Himachal Pradesh,39,16,1,77.25004871100003,31.923656800000057,2020-04-19
13,Jammu and Kashmir,341,51,5,76.31064825900006,34.64385349200006,2020-04-19
14,Jharkhand,35,0,2,85.55996217400008,23.65396590300003,2020-04-19
15,Karnataka,384,104,14,76.17046946700003,14.705918599000027,2020-04-19
16,Kerala,400,257,3,76.40890634100003,10.447255617000053,2020-04-19
17,Ladakh,18,14,0,77.50000000000007,34.50000000000006,2020-04-19
18,Madhya Pradesh,1407,127,70,78.29754465700006,23.543002144000074,2020-04-19
19,Maharashtra,3651,365,211,73.01582000000008,19.03681000000006,2020-04-19
20,Manipur,2,1,0,93.88394228400006,24.731636637000065,2020-04-19
21,Meghalaya,11,0,1,91.27961259500006,25.536524185000076,2020-04-19
22,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-04-19
23,Nagaland,0,0,0,94.47204729200008,26.059338800000035,2020-04-19
24,Odisha,61,24,1,85.00127000000003,20.926660000000027,2020-04-19
25,Puducherry,7,3,0,79.82470000000006,11.92993000000007,2020-04-19
26,Punjab,219,31,16,75.41747895900005,30.843241601000045,2020-04-19
27,Rajasthan,1351,183,11,73.84574451200007,26.58650209000007,2020-04-19
28,Tamil Nadu,1372,365,15,78.40968946000005,11.013249830000065,2020-04-19
29,Telengana,844,186,18,79.50000000000007,18.000000000000053,2020-04-19
30,Tripura,2,1,0,91.74011046400005,23.74652194700008,2020-04-19
32,Uttar Pradesh,1084,108,17,80.56369184900007,26.92876647400004,2020-04-19
31,Uttarakhand,42,9,0,79.20756428100003,30.15483757800007,2020-04-19
32,West Bengal,310,62,12,87.98640557800007,23.79775953100005,2020-04-19
