sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,141,74,0,92.78097500000008,12.472918209000056,2020-07-08
2,Andhra Pradesh,20019,8920,239,94.66035907100007,28.03378170600007,2020-07-08
3,Arunachal Pradesh,270,92,2,94.66035907100007,28.03378170600007,2020-07-08
4,Assam,12160,7882,14,92.83014998300007,26.32614343200004,2020-07-08
5,Bihar,12125,8997,97,85.48728000000007,25.151460000000046,2020-07-08
6,Chandigarh,489,401,6,76.78943000000005,30.703410000000076,2020-07-08
7,Chhattisgarh,3305,2667,14,82.04162085900003,21.265149263000072,2020-07-08
8,Dadra and Nagar Haveli and Daman and Diu,297,114,0,73.04955000000007,20.280950000000075,2020-07-08
9,Delhi,100823,72088,3115,77.21689000000003,28.634100000000053,2020-07-08
10,Goa,1813,1061,7,74.05421633500005,15.36257825000007,2020-07-08
11,Gujarat,36772,26315,1960,71.57702797000006,22.69541198300004,2020-07-08
12,Haryana,17504,13335,276,76.34013613300004,29.196461252000066,2020-07-08
13,Himachal Pradesh,1077,763,11,77.25004824800006,31.923656279000053,2020-07-08
14,Jammu and Kashmir,8675,5318,138,76.31064825900006,34.64385349200006,2020-07-08
15,Jharkhand,2847,2068,20,85.55996219500008,23.65396590300003,2020-07-08
16,Karnataka,25317,10527,401,76.17046947600005,14.705918575000055,2020-07-08
17,Kerala,5622,3341,27,76.40890634900006,10.447255621000068,2020-07-08
18,Ladakh,1005,836,1,77.50000000000007,34.50000000000006,2020-07-08
19,Madhya Pradesh,15284,11579,617,78.29754488400005,23.54300217400004,2020-07-08
20,Maharashtra,211987,115262,9026,73.01582000000008,19.03681000000006,2020-07-08
21,Manipur,1390,734,0,93.88394228400006,24.731636637000065,2020-07-08
22,Meghalaya,80,43,1,91.27961257200009,25.536524147000023,2020-07-08
23,Mizoram,197,133,0,92.82891654100008,23.307804220000037,2020-07-08
24,Nagaland,625,243,0,94.47204725100003,26.059339096000034,2020-07-08
25,Odisha,9526,6486,38,85.00127000000003,20.926660000000027,2020-07-08
26,Puducherry,802,331,12,79.82470000000006,11.92993000000007,2020-07-08
27,Punjab,6491,4494,169,75.41747860200006,30.843241196000065,2020-07-08
28,Rajasthan,20688,16278,461,73.84574452500004,26.58650208200004,2020-07-08
29,Sikkim,125,65,0,88.47595861700006,27.571226435000032,2020-07-08
30,Tamil Nadu,114978,66571,1571,78.40968946100008,11.013249812000025,2020-07-08
31,Telangana,25733,14781,306,79.01145968100008,17.805271101000077,2020-07-08
32,Tripura,1680,1219,1,91.74011046300006,23.74652194700008,2020-07-08
34,Uttar Pradesh,28636,19109,809,80.56369176000005,26.928766610000025,2020-07-08
33,Uttarakhand,3161,2586,42,79.20756426000008,30.15483759900007,2020-07-08
35,West Bengal,22987,15235,779,87.98640559100004,23.797759550000023,2020-07-08
