sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,212,159,0,92.78097500000008,12.472918209000056,2020-07-22
2,Andhra Pradesh,58668,25574,758,94.66035907100007,28.03378170600007,2020-07-22
3,Arunachal Pradesh,858,303,3,94.66035907100007,28.03378170600007,2020-07-22
4,Assam,25382,18033,58,92.83014998300007,26.32614343200004,2020-07-22
5,Bihar,28952,18515,217,85.48728000000007,25.151460000000046,2020-07-22
6,Chandigarh,751,518,12,76.78943000000005,30.703410000000076,2020-07-22
7,Chhattisgarh,5729,4114,29,82.04162085900003,21.265149263000072,2020-07-22
8,Dadra and Nagar Haveli and Daman and Diu,705,463,2,73.04955000000007,20.280950000000075,2020-07-22
9,Delhi,125096,106118,3690,77.21689000000003,28.634100000000053,2020-07-22
10,Goa,4027,2449,26,74.05421633500005,15.36257825000007,2020-07-22
11,Gujarat,50379,36423,2196,71.57702797000006,22.69541198300004,2020-07-22
12,Haryana,27462,20952,364,76.34013613300004,29.196461252000066,2020-07-22
13,Himachal Pradesh,1664,1077,11,77.25004824800006,31.923656279000053,2020-07-22
14,Jammu and Kashmir,15258,8455,263,76.31064825900006,34.64385349200006,2020-07-22
15,Jharkhand,6159,2904,55,85.55996219500008,23.65396590300003,2020-07-22
16,Karnataka,71069,25459,1464,76.17046947600005,14.705918575000055,2020-07-22
17,Kerala,13994,5890,44,76.40890634900006,10.447255621000068,2020-07-22
18,Ladakh,1198,1010,2,77.50000000000007,34.50000000000006,2020-07-22
19,Madhya Pradesh,24095,16257,756,78.29754488400005,23.54300217400004,2020-07-22
20,Maharashtra,327031,182217,12276,73.01582000000008,19.03681000000006,2020-07-22
21,Manipur,2015,1400,0,93.88394228400006,24.731636637000065,2020-07-22
22,Meghalaya,490,70,4,91.27961257200009,25.536524147000023,2020-07-22
23,Mizoram,317,168,0,92.82891654100008,23.307804220000037,2020-07-22
24,Nagaland,1030,485,0,94.47204725100003,26.059339096000034,2020-07-22
25,Odisha,18757,13310,103,85.00127000000003,20.926660000000027,2020-07-22
26,Puducherry,2179,1318,30,79.82470000000006,11.92993000000007,2020-07-22
27,Punjab,10889,7389,263,75.41747860200006,30.843241196000065,2020-07-22
28,Rajasthan,31373,22744,577,73.84574452500004,26.58650208200004,2020-07-22
29,Sikkim,330,108,0,88.47595861700006,27.571226435000032,2020-07-22
30,Tamil Nadu,180643,126670,2626,78.40968946100008,11.013249812000025,2020-07-22
31,Telangana,47705,37385,429,79.01145968100008,17.805271101000077,2020-07-22
32,Tripura,3331,1926,8,91.74011046300006,23.74652194700008,2020-07-22
34,Uttar Pradesh,53288,31855,1229,80.56369176000005,26.928766610000025,2020-07-22
33,Uttarakhand,4849,3297,55,79.20756426000008,30.15483759900007,2020-07-22
35,West Bengal,47030,28035,1182,87.98640559100004,23.797759550000023,2020-07-22
