sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,32,0,92.78097500000008,12.472918209000056,2020-05-05
2,Andhra Pradesh,1717,589,36,79.95790576800005,15.754585607000024,2020-05-05
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-05
4,Assam,43,32,1,92.83015209500007,26.32614358500007,2020-05-05
5,Bihar,529,130,4,85.48728000000007,25.151460000000046,2020-05-05
6,Chandigarh,102,21,1,76.78943000000005,30.703410000000076,2020-05-05
7,Chhattisgarh,58,36,0,82.04162083700004,21.265149260000047,2020-05-05
8,Delhi,4898,1431,64,77.21689000000003,28.634100000000053,2020-05-05
9,Goa,7,7,0,74.05421646500008,15.362577927000075,2020-05-05
10,Gujarat,5804,1195,319,71.57702777600008,22.695412103000027,2020-05-05
11,Haryana,517,254,6,76.34013631800008,29.19646195900003,2020-05-05
12,Himachal Pradesh,41,38,1,77.25004871100003,31.923656800000057,2020-05-05
13,Jammu and Kashmir,726,303,8,76.31064825900006,34.64385349200006,2020-05-05
14,Jharkhand,115,27,3,85.55996217400008,23.65396590300003,2020-05-05
15,Karnataka,659,324,28,76.17046946700003,14.705918599000027,2020-05-05
16,Kerala,500,462,4,76.40890634100003,10.447255617000053,2020-05-05
17,Ladakh,41,17,0,77.50000000000007,34.50000000000006,2020-05-05
18,Madhya Pradesh,3049,1000,176,78.29754465700006,23.543002144000074,2020-05-05
19,Maharashtra,14541,2465,583,73.01582000000008,19.03681000000006,2020-05-05
20,Manipur,2,2,0,93.88394228400006,24.731636637000065,2020-05-05
21,Meghalaya,12,10,1,91.27961259500006,25.536524185000076,2020-05-05
22,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-05-05
23,Odisha,170,60,1,85.00127000000003,20.926660000000027,2020-05-05
24,Puducherry,9,6,0,79.82470000000006,11.92993000000007,2020-05-05
25,Punjab,1233,128,23,75.41747895900005,30.843241601000045,2020-05-05
26,Rajasthan,3061,1394,77,73.84574451200007,26.58650209000007,2020-05-05
27,Tamil Nadu,3550,1409,31,78.40968946000005,11.013249830000065,2020-05-05
28,Telengana,1085,585,29,79.50000000000007,18.000000000000053,2020-05-05
29,Tripura,29,2,0,91.74011046400005,23.74652194700008,2020-05-05
31,Uttar Pradesh,2859,944,53,80.56369184900007,26.92876647400004,2020-05-05
30,Uttarakhand,60,39,1,79.20756428100003,30.15483757800007,2020-05-05
32,West Bengal,1259,218,133,87.98640557800007,23.79775953100005,2020-05-05
