sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-16
2,Andhra Pradesh,2307,1252,48,79.95790576800005,15.754585607000024,2020-05-16
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-16
4,Assam,90,41,2,92.83015209500007,26.32614358500007,2020-05-16
5,Bihar,1018,438,7,85.48728000000007,25.151460000000046,2020-05-16
6,Chandigarh,191,37,3,76.78943000000005,30.703410000000076,2020-05-16
7,Chhattisgarh,66,56,0,82.04162083700004,21.265149260000047,2020-05-16
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075,2020-05-16
9,Delhi,8895,3518,123,77.21689000000003,28.634100000000053,2020-05-16
10,Goa,15,7,0,74.05421646500008,15.362577927000075,2020-05-16
11,Gujarat,9931,4035,606,71.57702777600008,22.695412103000027,2020-05-16
12,Haryana,818,439,11,76.34013631800008,29.19646195900003,2020-05-16
13,Himachal Pradesh,76,39,3,77.25004871100003,31.923656800000057,2020-05-16
14,Jammu and Kashmir,1013,513,11,76.31064825900006,34.64385349200006,2020-05-16
15,Jharkhand,203,87,3,85.55996217400008,23.65396590300003,2020-05-16
16,Karnataka,1056,480,36,76.17046946700003,14.705918599000027,2020-05-16
17,Kerala,576,492,4,76.40890634100003,10.447255617000053,2020-05-16
18,Ladakh,43,22,0,77.50000000000007,34.50000000000006,2020-05-16
19,Madhya Pradesh,4595,2283,239,78.29754465700006,23.543002144000074,2020-05-16
20,Maharashtra,29100,6564,1068,73.01582000000008,19.03681000000006,2020-05-16
21,Manipur,3,2,0,93.88394228400006,24.731636637000065,2020-05-16
22,Meghalaya,13,11,1,91.27961259500006,25.536524185000076,2020-05-16
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-16
24,Odisha,672,166,3,85.00127000000003,20.926660000000027,2020-05-16
25,Puducherry,13,9,1,79.82470000000006,11.92993000000007,2020-05-16
26,Punjab,1935,305,32,75.41747895900005,30.843241601000045,2020-05-16
27,Rajasthan,4727,2677,125,73.84574451200007,26.58650209000007,2020-05-16
28,Tamil Nadu,10108,2599,71,78.40968946000005,11.013249830000065,2020-05-16
29,Telengana,1454,959,34,79.50000000000007,18.000000000000053,2020-05-16
30,Tripura,156,42,0,91.74011046400005,23.74652194700008,2020-05-16
32,Uttar Pradesh,4057,2165,95,80.56369184900007,26.92876647400004,2020-05-16
31,Uttarakhand,82,51,1,79.20756428100003,30.15483757800007,2020-05-16
33,West Bengal,2461,829,225,87.98640557800007,23.79775953100005,2020-05-16
