sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,97,50,0,92.78097500000008,12.472918209000056,2020-07-01
2,Andhra Pradesh,14595,6511,187,94.66035907100007,28.03378170600007,2020-07-01
3,Arunachal Pradesh,191,62,1,94.66035907100007,28.03378170600007,2020-07-01
4,Assam,8227,5647,12,92.83014998300007,26.32614343200004,2020-07-01
5,Bihar,10043,7687,67,85.48728000000007,25.151460000000046,2020-07-01
6,Chandigarh,440,364,6,76.78943000000005,30.703410000000076,2020-07-01
7,Chhattisgarh,2860,2250,13,82.04162085900003,21.265149263000072,2020-07-01
8,Dadra and Nagar Haveli and Daman and Diu,213,82,0,73.04955000000007,20.280950000000075,2020-07-01
9,Delhi,87360,58348,2742,77.21689000000003,28.634100000000053,2020-07-01
10,Goa,1315,596,3,74.05421633500005,15.36257825000007,2020-07-01
11,Gujarat,32557,23662,1846,71.57702797000006,22.69541198300004,2020-07-01
12,Haryana,14548,9972,236,76.34013613300004,29.196461252000066,2020-07-01
13,Himachal Pradesh,953,580,10,77.25004824800006,31.923656279000053,2020-07-01
14,Jammu and Kashmir,7497,4722,101,76.31064825900006,34.64385349200006,2020-07-01
15,Jharkhand,2490,1884,15,85.55996219500008,23.65396590300003,2020-07-01
16,Karnataka,15242,7918,246,76.17046947600005,14.705918575000055,2020-07-01
17,Kerala,4442,2306,24,76.40890634900006,10.447255621000068,2020-07-01
18,Ladakh,973,648,1,77.50000000000007,34.50000000000006,2020-07-01
19,Madhya Pradesh,13593,10395,572,78.29754488400005,23.54300217400004,2020-07-01
20,Maharashtra,174761,90911,7855,73.01582000000008,19.03681000000006,2020-07-01
21,Manipur,1234,553,0,93.88394228400006,24.731636637000065,2020-07-01
22,Meghalaya,52,42,1,91.27961257200009,25.536524147000023,2020-07-01
23,Mizoram,160,122,0,92.82891654100008,23.307804220000037,2020-07-01
24,Nagaland,459,168,0,94.47204725100003,26.059339096000034,2020-07-01
25,Odisha,7065,5189,25,85.00127000000003,20.926660000000027,2020-07-01
26,Puducherry,714,272,12,79.82470000000006,11.92993000000007,2020-07-01
27,Punjab,5568,3867,144,75.41747860200006,30.843241196000065,2020-07-01
28,Rajasthan,18014,14220,413,73.84574452500004,26.58650208200004,2020-07-01
29,Sikkim,89,52,0,88.47595861700006,27.571226435000032,2020-07-01
30,Tamil Nadu,90167,50074,1201,78.40968946100008,11.013249812000025,2020-07-01
31,Telangana,16339,7294,260,79.01145968100008,17.805271101000077,2020-07-01
32,Tripura,1388,1086,1,91.74011046300006,23.74652194700008,2020-07-01
34,Uttar Pradesh,23492,16084,697,80.56369176000005,26.928766610000025,2020-07-01
33,Uttarakhand,2881,2231,41,79.20756426000008,30.15483759900007,2020-07-01
35,West Bengal,18559,12130,668,87.98640559100004,23.797759550000023,2020-07-01
