sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,38,33,0,92.78097500000008,12.472918209000056,2020-06-13
2,Andhra Pradesh,5680,3105,80,79.95790576800005,15.754585607000024,2020-06-13
3,Arunachal Pradesh,67,4,0,94.66035909400006,28.033781652000073,2020-06-13
4,Assam,3498,1537,8,92.83015209500007,26.32614358500007,2020-06-13
5,Bihar,6103,3587,36,85.48728000000007,25.151460000000046,2020-06-13
6,Chandigarh,334,286,5,76.78943000000005,30.703410000000076,2020-06-13
7,Chhattisgarh,1429,550,6,82.04162083700004,21.265149260000047,2020-06-13
8,Dadra and Nagar Haveli and Daman and Diu,30,2,0,73.04955000000007,20.280950000000075,2020-06-13
9,Delhi,36824,13398,1214,77.21689000000003,28.634100000000053,2020-06-13
10,Goa,463,69,0,74.05421646500008,15.362577927000075,2020-06-13
11,Gujarat,22527,15493,1415,71.57702777600008,22.695412103000027,2020-06-13
12,Haryana,6334,2475,70,76.34013631800008,29.19646195900003,2020-06-13
13,Himachal Pradesh,486,297,6,77.25004871100003,31.923656800000057,2020-06-13
14,Jammu and Kashmir,4730,2086,53,76.31064825900006,34.64385349200006,2020-06-13
15,Jharkhand,1617,672,8,85.55996217400008,23.65396590300003,2020-06-13
16,Karnataka,6516,3440,79,76.17046946700003,14.705918599000027,2020-06-13
17,Kerala,2322,1000,19,76.40890634100003,10.447255617000053,2020-06-13
18,Ladakh,239,62,1,77.50000000000007,34.50000000000006,2020-06-13
19,Madhya Pradesh,10443,7201,440,78.29754465700006,23.543002144000074,2020-06-13
20,Maharashtra,101141,47796,3717,73.01582000000008,19.03681000000006,2020-06-13
21,Manipur,385,77,0,93.88394228400006,24.731636637000065,2020-06-13
22,Meghalaya,44,22,1,91.27961259500006,25.536524185000076,2020-06-13
23,Mizoram,104,1,0,92.82891654100008,23.307804220000037,2020-06-13
24,Nagaland,156,49,0,94.47204729200008,26.059338800000035,2020-06-13
25,Odisha,3498,2474,10,85.00127000000003,20.926660000000027,2020-06-13
26,Puducherry,157,67,2,79.82470000000006,11.92993000000007,2020-06-13
27,Punjab,2986,2282,63,75.41747895900005,30.843241601000045,2020-06-13
28,Rajasthan,12068,8898,272,73.84574451200007,26.58650209000007,2020-06-13
29,Sikkim,63,2,0,88.47595861700006,27.571226435000032,2020-06-13
30,Tamil Nadu,40698,22047,367,78.40968946000005,11.013249830000065,2020-06-13
31,Telangana,4484,2278,174,79.01145966800004,17.805271108000053,2020-06-13
32,Tripura,961,278,1,91.74011046400005,23.74652194700008,2020-06-13
34,Uttar Pradesh,12616,7609,365,80.56369184900007,26.92876647400004,2020-06-13
33,Uttarakhand,1724,947,21,79.20756428100003,30.15483757800007,2020-06-13
35,West Bengal,10244,4206,451,87.98640557800007,23.79775953100005,2020-06-13
