S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,147,75,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,21197,9745,252,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,276,105,2,94.66035907100007,28.03378170600007
4,Assam,12522,8329,14,92.83014998300007,26.326143432000038
5,Bihar,12570,9284,104,85.48728000000006,25.151460000000043
6,Chandigarh,494,401,7,76.78943000000004,30.703410000000076
7,Chhattisgarh,3415,2751,14,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,405,183,0,73.04955000000007,20.280950000000075
9,Delhi,102831,74217,3165,77.21689000000003,28.634100000000046
10,Goa,1903,1156,8,74.05421633500004,15.36257825000007
11,Gujarat,37550,26720,1977,71.57702797000007,22.695411983000042
12,Haryana,17999,13645,279,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1083,790,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,8931,5399,143,76.31064825900006,34.64385349200006
15,Jharkhand,2996,2104,22,85.55996219500008,23.653965903000028
16,Karnataka,26815,11098,416,76.17046947600005,14.705918575000055
17,Kerala,5894,3452,27,76.40890634900006,10.447255621000068
18,Ladakh,1041,836,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,15627,11768,622,78.29754488400005,23.543002174000037
20,Maharashtra,217121,118558,9250,73.01582000000008,19.03681000000006
21,Manipur,1430,771,0,93.88394228400006,24.731636637000065
22,Meghalaya,80,43,1,91.27961257200008,25.536524147000023
23,Mizoram,197,133,0,92.82891654100007,23.307804220000037
24,Nagaland,625,243,0,94.47204725100005,26.05933909600003
25,Odisha,10097,6703,42,85.00127000000003,20.926660000000027
26,Puducherry,930,434,14,79.82470000000006,11.92993000000007
27,Punjab,6749,4554,175,75.41747860200007,30.843241196000065
28,Rajasthan,21404,16575,472,73.84574452500004,26.586502082000038
29,Sikkim,125,70,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,118594,71116,1636,78.40968946100008,11.013249812000026
31,Telangana,27612,16287,313,79.01145968100008,17.805271101000073
32,Tripura,1704,1248,1,91.74011046300006,23.746521947000076
33,Uttarakhand,3230,2621,43,79.20756426000008,30.154837599000075
34,Uttar Pradesh,29968,19627,827,80.56369176000004,26.928766610000025
35,West Bengal,23837,15790,804,87.98640559100005,23.797759550000023
