S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,33,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,2090,1056,46,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073
4,Assam,65,39,2,92.83015209500007,26.326143585000068
5,Bihar,831,383,6,85.48728000000006,25.151460000000043
6,Chandigarh,187,28,3,76.78943000000004,30.703410000000076
7,Chhattisgarh,59,54,0,82.04162083700004,21.265149260000044
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075
9,Delhi,7639,2512,86,77.21689000000003,28.634100000000046
10,Goa,7,7,0,74.05421646500008,15.362577927000075
11,Gujarat,8903,3246,537,71.57702777600008,22.695412103000024
12,Haryana,780,342,11,76.34013631800008,29.196461959000032
13,Himachal Pradesh,65,39,2,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,934,455,10,76.31064825900006,34.64385349200006
15,Jharkhand,172,79,3,85.55996217400008,23.653965903000028
16,Karnataka,925,433,31,76.17046946700003,14.705918599000029
17,Kerala,524,489,4,76.40890634100003,10.447255617000053
18,Ladakh,42,21,0,77.50000000000006,34.50000000000006
19,Madhya Pradesh,3986,1860,225,78.29754465700006,23.54300214400007
20,Maharashtra,24427,5125,921,73.01582000000008,19.03681000000006
21,Manipur,2,2,0,93.88394228400006,24.731636637000065
22,Meghalaya,13,10,1,91.27961259500006,25.536524185000076
23,Mizoram,1,1,0,92.82891654100007,23.307804220000037
24,Odisha,437,116,3,85.00127000000003,20.926660000000027
25,Puducherry,13,9,1,79.82470000000006,11.92993000000007
26,Punjab,1914,171,32,75.41747895900005,30.843241601000045
27,Rajasthan,4126,2378,117,73.84574451200007,26.586502090000067
28,Tamil Nadu,8718,2134,61,78.40968946000004,11.013249830000063
29,Telengana,1326,830,32,79.50000000000006,18.000000000000057
30,Tripura,154,2,0,91.74011046400005,23.746521947000076
31,Uttarakhand,69,46,1,79.20756428100003,30.15483757800007
32,Uttar Pradesh,3664,1873,82,80.56369184900007,26.928766474000042
33,West Bengal,2173,612,198,87.98640557800007,23.797759531000054
