S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,33,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,3783,2378,64,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,22,1,0,94.66035909400006,28.033781652000073
4,Assam,1390,277,4,92.83015209500007,26.326143585000068
5,Bihar,3926,1900,24,85.48728000000006,25.151460000000043
6,Chandigarh,294,199,4,76.78943000000004,30.703410000000076
7,Chhattisgarh,547,122,1,82.04162083700004,21.265149260000044
8,Dadar Nagar Haveli,3,1,0,73.04955000000007,20.280950000000075
9,Delhi,20834,8746,523,77.21689000000003,28.634100000000046
10,Goa,71,42,0,74.05421646500008,15.362577927000075
11,Gujarat,17200,10780,1063,71.57702777600008,22.695412103000024
12,Haryana,2356,1055,21,76.34013631800008,29.196461959000032
13,Himachal Pradesh,340,122,5,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,2601,946,31,76.31064825900006,34.64385349200006
15,Jharkhand,659,296,5,85.55996217400008,23.653965903000028
16,Karnataka,3408,1328,52,76.17046946700003,14.705918599000029
17,Kerala,1326,608,10,76.40890634100003,10.447255617000053
18,Ladakh,77,43,0,77.50000000000006,34.50000000000006
19,Madhya Pradesh,8283,5003,358,78.29754465700006,23.54300214400007
20,Maharashtra,70013,30108,2362,73.01582000000008,19.03681000000006
21,Manipur,83,11,0,93.88394228400006,24.731636637000065
22,Meghalaya,27,12,1,91.27961259500006,25.536524185000076
23,Mizoram,1,1,0,92.82891654100007,23.307804220000037
24,Nagaland,43,0,0,94.47204729200007,26.059338800000035
25,Odisha,2104,1245,7,85.00127000000003,20.926660000000027
26,Puducherry,74,25,0,79.82470000000006,11.92993000000007
27,Punjab,2301,2000,45,75.41747895900005,30.843241601000045
28,Rajasthan,8980,6040,198,73.84574451200007,26.586502090000067
29,Sikkim,1,0,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,23495,13170,184,78.40968946000004,11.013249830000063
31,Telengana,2792,1491,88,79.50000000000006,18.000000000000057
32,Tripura,420,173,0,91.74011046400005,23.746521947000076
33,Uttarakhand,958,222,6,79.20756428100003,30.15483757800007
34,Uttar Pradesh,8075,4843,217,80.56369184900007,26.928766474000042
35,West Bengal,5772,2306,325,87.98640557800007,23.797759531000054
