S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,100,50,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,15252,6988,193,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,195,66,1,94.66035907100007,28.03378170600007
4,Assam,8582,5851,12,92.83014998300007,26.326143432000038
5,Bihar,10249,7946,70,85.48728000000006,25.151460000000043
6,Chandigarh,446,367,6,76.78943000000004,30.703410000000076
7,Chhattisgarh,2940,2303,14,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,215,86,0,73.04955000000007,20.280950000000075
9,Delhi,89802,59992,2803,77.21689000000003,28.634100000000046
10,Goa,1387,670,4,74.05421633500004,15.36257825000007
11,Gujarat,33232,24030,1867,71.57702797000007,22.695411983000042
12,Haryana,14941,10499,240,76.34013613300004,29.196461252000063
13,Himachal Pradesh,979,614,10,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,7695,4856,105,76.31064825900006,34.64385349200006
15,Jharkhand,2521,1931,15,85.55996219500008,23.653965903000028
16,Karnataka,16514,8063,253,76.17046947600005,14.705918575000055
17,Kerala,4593,2439,24,76.40890634900006,10.447255621000068
18,Ladakh,990,694,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,13861,10655,581,78.29754488400005,23.543002174000037
20,Maharashtra,180298,93154,8053,73.01582000000008,19.03681000000006
21,Manipur,1260,579,0,93.88394228400006,24.731636637000065
22,Meghalaya,52,42,1,91.27961257200008,25.536524147000023
23,Mizoram,160,123,0,92.82891654100007,23.307804220000037
24,Nagaland,459,168,0,94.47204725100005,26.05933909600003
25,Odisha,7316,5353,25,85.00127000000003,20.926660000000027
26,Puducherry,714,272,12,79.82470000000006,11.92993000000007
27,Punjab,5668,3867,149,75.41747860200007,30.843241196000065
28,Rajasthan,18312,14574,421,73.84574452500004,26.586502082000038
29,Sikkim,101,53,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,94049,52926,1264,78.40968946100008,11.013249812000026
31,Telangana,17357,8082,267,79.01145968100008,17.805271101000073
32,Tripura,1396,1093,1,91.74011046300006,23.746521947000076
33,Uttarakhand,2947,2317,41,79.20756426000008,30.154837599000075
34,Uttar Pradesh,24056,16629,718,80.56369176000004,26.928766610000025
35,West Bengal,19170,12528,683,87.98640559100005,23.797759550000023
