S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,180,133,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,38044,19393,492,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,543,153,3,94.66035907100007,28.03378170600007
4,Assam,19754,12888,48,92.83014998300007,26.326143432000038
5,Bihar,21764,14018,197,85.48728000000006,25.151460000000043
6,Chandigarh,651,476,11,76.78943000000004,30.703410000000076
7,Chhattisgarh,4732,3451,21,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,552,371,2,73.04955000000007,20.280950000000075
9,Delhi,118645,97693,3545,77.21689000000003,28.634100000000046
10,Goa,3108,1817,19,74.05421633500004,15.36257825000007
11,Gujarat,45481,32103,2089,71.57702797000007,22.695411983000042
12,Haryana,24002,18185,322,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1377,984,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,12156,6446,222,76.31064825900006,34.64385349200006
15,Jharkhand,4624,2513,42,85.55996219500008,23.653965903000028
16,Karnataka,51422,19729,1032,76.17046947600005,14.705918575000055
17,Kerala,10275,4862,37,76.40890634900006,10.447255621000068
18,Ladakh,1147,970,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,20378,14127,689,78.29754488400005,23.543002174000037
20,Maharashtra,284281,158140,11194,73.01582000000008,19.03681000000006
21,Manipur,1764,1129,0,93.88394228400006,24.731636637000065
22,Meghalaya,377,66,2,91.27961257200008,25.536524147000023
23,Mizoram,272,160,0,92.82891654100007,23.307804220000037
24,Nagaland,916,391,0,94.47204725100005,26.05933909600003
25,Odisha,15392,10877,79,85.00127000000003,20.926660000000027
26,Puducherry,1743,947,22,79.82470000000006,11.92993000000007
27,Punjab,9094,6277,230,75.41747860200007,30.843241196000065
28,Rajasthan,27174,19970,538,73.84574452500004,26.586502082000038
29,Sikkim,243,88,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,156369,107416,2236,78.40968946100008,11.013249812000026
31,Telangana,41018,27295,396,79.01145968100008,17.805271101000073
32,Tripura,2283,1604,3,91.74011046300006,23.746521947000076
33,Uttarakhand,3982,2995,50,79.20756426000008,30.154837599000075
34,Uttar Pradesh,43441,26675,1046,80.56369176000004,26.928766610000025
35,West Bengal,36117,21415,1023,87.98640559100005,23.797759550000023
