S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,156,92,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,25422,13194,292,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,335,120,2,94.66035907100007,28.03378170600007
4,Assam,14600,9147,27,92.83014998300007,26.326143432000038
5,Bihar,14575,10109,119,85.48728000000006,25.151460000000043
6,Chandigarh,539,408,7,76.78943000000004,30.703410000000076
7,Chhattisgarh,3767,3028,17,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,459,211,0,73.04955000000007,20.280950000000075
9,Delhi,109140,84694,3300,77.21689000000003,28.634100000000046
10,Goa,2251,1347,9,74.05421633500004,15.36257825000007
11,Gujarat,40069,28147,2022,71.57702797000007,22.695411983000042
12,Haryana,19934,14904,290,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1171,883,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,9888,5786,159,76.31064825900006,34.64385349200006
15,Jharkhand,3419,2224,23,85.55996219500008,23.653965903000028
16,Karnataka,33418,13836,543,76.17046947600005,14.705918575000055
17,Kerala,6950,3820,27,76.40890634900006,10.447255621000068
18,Ladakh,1064,917,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,16657,12481,638,78.29754488400005,23.543002174000037
20,Maharashtra,238461,132625,9893,73.01582000000008,19.03681000000006
21,Manipur,1582,832,0,93.88394228400006,24.731636637000065
22,Meghalaya,207,66,2,91.27961257200008,25.536524147000023
23,Mizoram,226,143,0,92.82891654100007,23.307804220000037
24,Nagaland,732,304,0,94.47204725100005,26.05933909600003
25,Odisha,11956,7972,56,85.00127000000003,20.926660000000027
26,Puducherry,1272,637,17,79.82470000000006,11.92993000000007
27,Punjab,7357,5017,187,75.41747860200007,30.843241196000065
28,Rajasthan,23174,17620,497,73.84574452500004,26.586502082000038
29,Sikkim,134,80,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,130261,82324,1829,78.40968946100008,11.013249812000026
31,Telangana,32224,19205,339,79.01145968100008,17.805271101000073
32,Tripura,1918,1372,1,91.74011046300006,23.746521947000076
33,Uttarakhand,3373,2706,46,79.20756426000008,30.154837599000075
34,Uttar Pradesh,33700,21787,889,80.56369176000004,26.928766610000025
35,West Bengal,27109,17348,880,87.98640559100005,23.797759550000023
